id,customer_id,product_id,rating,review_text,created_at,is_verified_purchase
1,30,9,3,"Average product, nothing special.",2024-03-14 06:19:07,false
2,49,23,5,Good quality but took a while to arrive.,2024-06-02 23:03:15,true
3,35,14,5,Would recommend to friends and family.,2023-06-26 17:08:42,true
4,25,27,4,Decent quality for the price point.,2024-06-17 15:52:28,true
5,31,19,5,Best purchase I've made this year.,2023-08-21 03:00:25,false
6,46,2,4,"Five stars, no complaints.",2024-02-06 10:10:28,true
7,44,20,2,Exceeded expectations!,2023-12-15 18:42:26,false
8,11,7,5,"Not worth the price, disappointing.",2023-02-03 03:32:11,true
9,44,14,3,"Could be better, but acceptable.",2024-05-02 04:20:38,false
10,39,9,4,Works as described.,2023-02-22 01:11:36,false
11,36,13,4,"Could be better, but acceptable.",2023-08-03 12:45:23,true
12,1,26,5,Would recommend to friends and family.,2024-02-10 21:15:42,true
13,8,14,2,Would recommend to friends and family.,2024-04-01 15:53:11,true
14,7,30,2,Exceeded expectations!,2023-03-20 10:35:53,true
15,35,29,4,"Arrived damaged, had to request replacement.",2023-07-25 03:51:49,true
16,32,19,4,"Great product, exactly what I needed!",2023-05-14 18:02:08,true
17,10,20,4,Works as described.,2023-11-09 00:36:06,false
18,22,23,3,Works as described.,2024-01-05 02:42:32,true
19,24,1,4,Exceeded expectations!,2023-08-24 09:21:13,true
20,32,28,5,Good quality but took a while to arrive.,2023-06-27 01:26:03,false
21,48,15,5,Love it! Perfect for my morning routine.,2023-07-29 06:21:08,true
22,39,21,2,Best purchase I've made this year.,2023-06-14 04:36:16,true
23,27,24,4,Decent quality for the price point.,2023-10-18 10:11:29,true
24,33,26,3,"Average product, nothing special.",2024-01-29 15:20:55,true
25,50,28,4,Would recommend to friends and family.,2023-01-23 11:37:58,false
26,13,27,2,"Great product, exactly what I needed!",2023-12-21 12:49:11,false
27,24,23,3,Love it! Perfect for my morning routine.,2023-12-27 13:39:33,true
28,41,30,2,"Great product, exactly what I needed!",2023-07-07 22:03:10,true
29,39,15,3,"Could be better, but acceptable.",2024-01-04 14:51:18,true
30,23,12,3,"Five stars, no complaints.",2023-07-20 21:46:13,true
31,45,3,3,"Arrived damaged, had to request replacement.",2023-02-08 13:33:45,false
32,37,25,5,"Could be better, but acceptable.",2023-06-21 22:16:59,true
33,44,7,3,"Arrived damaged, had to request replacement.",2024-02-03 16:15:20,false
34,50,25,5,Best purchase I've made this year.,2023-04-13 18:30:48,true
35,39,26,1,"Average product, nothing special.",2024-04-17 12:21:06,true
36,20,23,5,,2023-08-02 21:25:42,true
37,25,28,4,"Average product, nothing special.",2023-06-19 11:42:41,true
38,44,17,5,"Arrived damaged, had to request replacement.",2024-03-29 23:37:49,false
39,33,22,5,"Could be better, but acceptable.",2023-10-18 16:08:54,true
40,39,20,3,,2023-03-25 23:12:52,true
41,22,9,4,"Could be better, but acceptable.",2023-08-04 01:30:33,true
42,46,29,5,Excellent! Will buy again.,2023-04-27 10:53:04,true
43,16,29,2,"Could be better, but acceptable.",2024-04-11 01:25:53,true
44,21,22,2,"Great product, exactly what I needed!",2024-05-24 01:33:07,true
45,19,9,5,"Arrived damaged, had to request replacement.",2023-10-29 13:58:08,true
46,38,23,5,"Could be better, but acceptable.",2023-05-28 12:16:30,true
47,46,8,5,,2024-01-05 12:20:48,true
48,43,12,4,"Could be better, but acceptable.",2023-05-13 00:46:51,true
49,36,6,3,Best purchase I've made this year.,2023-04-10 09:03:05,true
50,47,26,4,"Five stars, no complaints.",2023-05-23 04:38:29,true
51,22,21,2,Love it! Perfect for my morning routine.,2023-06-23 11:08:03,true
52,20,14,5,Love it! Perfect for my morning routine.,2023-10-16 16:39:45,true
53,19,15,5,Best purchase I've made this year.,2023-02-11 16:36:39,true
54,38,19,5,Good quality but took a while to arrive.,2024-01-02 18:48:46,true
55,33,4,5,"Arrived damaged, had to request replacement.",2024-02-16 12:54:20,true
56,4,28,5,"Not worth the price, disappointing.",2023-06-05 13:47:56,true
57,37,29,5,Best purchase I've made this year.,2023-04-22 05:53:30,true
58,46,6,5,Best purchase I've made this year.,2023-09-16 08:39:44,true
59,12,11,4,"Great product, exactly what I needed!",2023-12-18 02:52:58,true
60,49,25,3,Exceeded expectations!,2023-05-04 01:26:40,true
